DATE,YardCpu
1597223377000,87.858215
1597223397000,93.02471
1597223417000,57.17871
1597223437000,67.87113
1597223457000,37.791286
1597223477000,22.866894
1597223497000,20.754717
1597223517000,30.72718
1597223537000,30.365095
1597223557000,22.493053
1597223577000,75.83564
1597223597000,58.98271
1597223617000,76.51116
1597223637000,54.888718
1597223657000,51.88573
1597223677000,46.335667
1597223697000,43.042927
1597223717000,30.263493
1597223737000,21.5412
1597223757000,17.790403
1597223777000,18.69929
1597223797000,25.958256
1597223817000,33.5101
1597223837000,24.321594
1597223857000,23.25699
1597223877000,20.531982
1597223897000,18.667513
1597223917000,19.752775
1597223937000,29.353296
1597223957000,19.698696
1597223977000,17.929293
1597223997000,20.020338
1597224017000,34.637295
1597224037000,71.63522
1597224057000,53.70533
1597224077000,71.35495
1597224097000,53.75954
1597224117000,48.47085
1597224137000,45.917725
1597224157000,45.89221
1597224177000,43.929195
1597224197000,44.90868
1597224217000,44.449993
1597224237000,43.69832
1597224257000,44.806747
1597224277000,45.15
1597224297000,44.604404
1597224317000,44.20789
1597224337000,44.05953
1597224357000,43.205402
1597224377000,44.09074
1597224397000,45.137062
1597224417000,44.17116
1597224437000,43.46573
1597224457000,43.22629
1597224477000,43.0612
1597224497000,43.137257
1597224517000,42.680798
1597224537000,42.867878
1597224557000,42.69072
1597224577000,42.29905
1597224597000,42.300953
1597224617000,42.057716
1597224637000,41.95037
1597224657000,42.077465
1597224677000,41.880234
1597224697000,41.86657
1597224717000,41.9625
1597224737000,41.82386
1597224757000,41.94926
1597224777000,41.92178
1597224797000,0.0001
1597224817000,58.145397
1597224837000,25.956318
1597224857000,21.043964
1597224877000,35.432472
1597224897000,37.370155
1597224917000,61.404617
1597224937000,38.71172
1597224957000,25.784016
1597224977000,39.338467
1597224997000,50.60683
1597225017000,42.976357
1597225037000,34.928654
1597225057000,23.37843
1597225077000,24.753227
1597225097000,32.62322
1597225117000,19.639254
1597225137000,24.231647
1597225157000,29.65899
1597225177000,18.9029
1597225197000,28.226011
1597225217000,31.487581
1597225237000,22.141861
1597225257000,27.21886
1597225277000,26.239433
1597225297000,33.481236
1597225317000,45.642
1597225337000,28.302845
1597225357000,22.961456
